X	PC1	PC2	PC3
a	1.03473082339434	-0.055241120195144	0.211452752959217
b	-2.52643176723004	-1.89502692078472	-0.113485217123245
c	1.07840574602894	-0.716128949465791	-0.459169622616771
d	0.37802900475148	0.308820247415134	-0.170233586065368
e	1.96237181558260	-0.840070460652313	0.269492416320043
f	1.21450623615393	0.606208627842961	-0.23733118882143
g	-0.169404819013794	-0.489272848094598	0.443541212577045
h	-1.25998537731954	1.01227937838366	-0.0770840577253739
i	-0.413777292699782	0.808937593793763	-0.0408288771516407
j	-1.29844436964814	1.25949445175706	0.173646167647523
